"geocodigo","comuna_cod","pob_zona","pob_comuna","n_personas","prob_media","prob_suma","n_consumidores","prop_jovenes","prop_adultos","prop_universitarios","gasto_total","gasto_medio","peso_zona","demanda_prob_zona","demanda_gasto_zona"
"13101011001","13101",2174,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00537460289991224,3.5900254214114,250303.594087288
"13101011002","13101",2282,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00564160249199619,3.76837075053395,262738.179258138
"13101011003","13101",2209,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.005461130545495,3.64782251881223,254333.320763026
"13101011004","13101",1821,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00450190978874893,3.00710041048305,209660.92218627
"13101011005","13101",1741,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00430413231313119,2.87499275928116,200450.118356011
"13101021001","13101",3448,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00852420919912483,5.69383976680152,396985.645084163
"13101021002","13101",2856,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00706065587955352,4.71624314790752,328825.696740246
"13101021003","13101",2768,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.006843100656374,4.57092473158544,318693.812526961
"13101021004","13101",3279,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00810640428188235,5.41476235363753,377527.82199274
"13101021005","13101",2258,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00558226924931087,3.72873845517339,259974.93810906
"13101021006","13101",2478,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00612615730725967,4.09203449597859,285304.648642272
