"geocodigo","nom_comuna","urbano","comuna_cod","pob_zona","pob_comuna","n_personas","prob_media","prob_suma","n_consumidores","prop_jovenes","prop_adultos","prop_universitarios","gasto_total","gasto_medio","peso_zona","demanda_prob_zona.x","demanda_gasto_zona","demanda_prob_zona.y","oferta_n","demanda_x_local","demanda_cat","oferta_cat","categoria_do"
"13101091004","SANTIAGO",1,"13101",2956,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.0073078777240757,4.88137771190989,340339.20152807,4.88137771190989,5,0.976275542381978,"Baja","Alta","Baja demanda / Alta oferta"
"13112071006","LA PINTANA",1,"13112",2274,177335,797,0.293583790364556,233.986280920551,137,0.288582183186951,0.299874529485571,0.120451693851945,4726898.76907184,34502.9107231521,0.0128231877519948,3.00045001163523,60613.9104004814,3.00045001163523,0,NA,"Baja","Baja","Baja demanda / Baja oferta"
"13120011008","ÑUÑOA",1,"13120",3338,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0160298121851544,8.80030236366291,820283.930374249,8.80030236366291,18,0.488905686870161,"Alta","Alta","Alta demanda / Alta oferta"
"13101141003","SANTIAGO",1,"13101",4067,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.0100545124167171,6.71602271797616,468254.239720792,6.71602271797616,7,0.959431816853737,"Alta","Alta","Alta demanda / Alta oferta"
"13110031007","LA FLORIDA",1,"13110",2062,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.0056198148895115,3.55071486457971,189358.446317257,3.55071486457971,9,0.39452387384219,"Baja","Alta","Baja demanda / Alta oferta"
"13101161001","SANTIAGO",1,"13101",2637,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00651924004004994,4.35459845274235,303611.121254912,4.35459845274235,5,0.870919690548469,"Baja","Alta","Baja demanda / Alta oferta"
"13112081006","LA PINTANA",1,"13112",3947,177335,797,0.293583790364556,233.986280920551,137,0.288582183186951,0.299874529485571,0.120451693851945,4726898.76907184,34502.9107231521,0.0222573096117518,5.20790509935103,105208.04940664,5.20790509935103,0,NA,"Baja","Baja","Baja demanda / Baja oferta"
"13110091001","LA FLORIDA",1,"13110",2990,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.00814900413173587,5.14870875125768,274578.930401842,5.14870875125768,1,5.14870875125768,"Baja","Baja","Baja demanda / Baja oferta"
"13110181001","LA FLORIDA",1,"13110",4197,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.0114385853982928,7.22713398964163,385420.659162719,7.22713398964163,5,1.44542679792833,"Alta","Alta","Alta demanda / Alta oferta"
"13110171001","LA FLORIDA",1,"13110",4566,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.01244426517241,7.86254319673664,419306.821476525,7.86254319673664,0,NA,"Alta","Baja","Alta demanda / Baja oferta"
"13110171002","LA FLORIDA",1,"13110",3973,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.0108280914432731,6.84141132734005,364850.19748713,6.84141132734005,1,6.84141132734005,"Alta","Baja","Alta demanda / Baja oferta"
"13110171006","LA FLORIDA",1,"13110",3797,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.0103484176214719,6.53834352124595,348687.691884881,6.53834352124595,0,NA,"Alta","Baja","Alta demanda / Baja oferta"
"13110171003","LA FLORIDA",1,"13110",3316,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.00903749086984487,5.71007298300015,304516.29873328,5.71007298300015,7,0.815724711857165,"Baja","Alta","Baja demanda / Alta oferta"
"13110121002","LA FLORIDA",1,"13110",2473,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.00673996228019492,4.25844707085627,227101.570195236,4.25844707085627,1,4.25844707085627,"Baja","Baja","Baja demanda / Baja oferta"
"13110161003","LA FLORIDA",1,"13110",3905,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.0106427629212136,6.72431694771279,358605.593049897,6.72431694771279,10,0.672431694771279,"Alta","Alta","Alta demanda / Alta oferta"
"13110161004","LA FLORIDA",1,"13110",3444,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.00938634455842754,5.93048593288677,316270.848262189,5.93048593288677,0,NA,"Alta","Baja","Alta demanda / Baja oferta"
"13110151004","LA FLORIDA",1,"13110",2787,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.00759574398499929,4.79914758854687,255936.949508339,4.79914758854687,0,NA,"Baja","Baja","Baja demanda / Baja oferta"
"13110151003","LA FLORIDA",1,"13110",4320,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.0117738119896652,7.4389370586733,396716.046600655,7.4389370586733,5,1.48778741173466,"Alta","Alta","Alta demanda / Alta oferta"
"13112081008","LA PINTANA",1,"13112",3346,177335,797,0.293583790364556,233.986280920551,137,0.288582183186951,0.299874529485571,0.120451693851945,4726898.76907184,34502.9107231521,0.0188682437195139,4.41491017543161,89188.2780123178,4.41491017543161,0,NA,"Baja","Baja","Baja demanda / Baja oferta"
"13127111004","RECOLETA",1,"13127",4248,157851,717,0.343175755552565,246.057016731189,223,0.251046025104602,0.302649930264993,0.213389121338912,9920421.59541371,44486.1954951288,0.026911454472889,6.62175220349628,266972.974116841,6.62175220349628,11,0.601977473045117,"Alta","Alta","Alta demanda / Alta oferta"
"13127071004","RECOLETA",1,"13127",2024,157851,717,0.343175755552565,246.057016731189,223,0.251046025104602,0.302649930264993,0.213389121338912,9920421.59541371,44486.1954951288,0.0128222184211693,3.15499681258862,127201.81252648,3.15499681258862,0,NA,"Baja","Baja","Baja demanda / Baja oferta"
"13127071002","RECOLETA",1,"13127",3092,157851,717,0.343175755552565,246.057016731189,223,0.251046025104602,0.302649930264993,0.213389121338912,9920421.59541371,44486.1954951288,0.0195880925683081,4.81978762081227,194322.136527606,4.81978762081227,5,0.963957524162454,"Baja","Alta","Baja demanda / Alta oferta"
"13110141006","LA FLORIDA",1,"13110",2774,366916,1614,0.391462582871543,631.82060875467,709,0.233581164807931,0.289343246592317,0.325898389095415,33694783.5542884,47524.3773685309,0.00756031353225261,4.77676189832401,254743.128071809,4.77676189832401,0,NA,"Baja","Baja","Baja demanda / Baja oferta"
"13127081001","RECOLETA",1,"13127",2817,157851,717,0.343175755552565,246.057016731189,223,0.251046025104602,0.302649930264993,0.213389121338912,9920421.59541371,44486.1954951288,0.0178459433263014,4.39111957562359,177039.28156477,4.39111957562359,4,1.0977798939059,"Baja","Alta","Baja demanda / Alta oferta"
"13112051010","LA PINTANA",1,"13112",4743,177335,797,0.293583790364556,233.986280920551,137,0.288582183186951,0.299874529485571,0.120451693851945,4726898.76907184,34502.9107231521,0.0267459892294245,6.25819454933417,126425.583566176,6.25819454933417,1,6.25819454933417,"Alta","Baja","Alta demanda / Baja oferta"
"13112051011","LA PINTANA",1,"13112",4829,177335,797,0.293583790364556,233.986280920551,137,0.288582183186951,0.299874529485571,0.120451693851945,4726898.76907184,34502.9107231521,0.0272309470775651,6.3716680326238,128717.930221603,6.3716680326238,3,2.12388934420793,"Alta","Alta","Alta demanda / Alta oferta"
"13112041003","LA PINTANA",1,"13112",3963,177335,797,0.293583790364556,233.986280920551,137,0.288582183186951,0.299874529485571,0.120451693851945,4726898.76907184,34502.9107231521,0.0223475343276849,5.22901644507934,105634.532505324,5.22901644507934,0,NA,"Baja","Baja","Baja demanda / Baja oferta"
