"geocodigo","oferta_n","oferta_restaurant","oferta_fastfood","oferta_cafe","pob_zona","oferta_x1000hab"
"13110111004",7,1,0,0,4530,1.54525386313466
"13110161005",0,0,0,0,1855,0
"13110121004",6,1,1,0,3673,1.63354206370814
"13110141007",0,0,0,0,3504,0
"13110141004",0,0,0,0,2761,0
"13110141003",6,2,0,0,3766,1.59320233669676
"13110131001",0,0,0,0,3968,0
"13110141001",0,0,0,0,2455,0
"13110141002",0,0,0,0,3156,0
"13110201002",0,0,0,0,3303,0
"13110141005",0,0,0,0,2868,0
"13110201001",0,0,0,0,1911,0
"13110131002",0,0,0,0,4143,0
"13110131003",6,1,1,0,3900,1.53846153846154
"13110011001",25,3,2,0,4616,5.4159445407279
"13110071002",1,0,1,0,7443,0.134354426978369
"13110021004",3,2,1,0,1833,1.6366612111293
"13110081004",0,0,0,0,3824,0
"13110071001",0,0,0,0,3500,0
"13110081003",0,0,0,0,4074,0
"13112071001",0,0,0,0,3478,0
"13112051007",5,1,0,0,4273,1.170138076293
"13112071005",0,0,0,0,3135,0
"13112071002",0,0,0,0,2983,0
"13112051006",0,0,0,0,3458,0
"13112071003",1,0,1,0,3741,0.267308206361935
"13112051009",0,0,0,0,4508,0
"13112071004",1,0,1,0,3364,0.297265160523187
"13112051008",1,0,0,1,3781,0.264480296217932
"13112051003",1,1,0,0,5088,0.196540880503145
"13112041007",1,0,0,1,5189,0.192715359414145
"13112041001",0,0,0,0,4565,0
"13112041005",1,0,1,0,3207,0.311817898347365
"13112041006",1,1,0,0,3419,0.292483182217023
"13112031002",0,0,0,0,5923,0
"13101121005",8,4,4,0,2095,3.81861575178998
"13112051004",0,0,0,0,10,0
"13112031001",0,0,0,0,3870,0
"13112081009",0,0,0,0,4548,0
"13112031003",2,2,0,0,4964,0.40290088638195
"13112021001",0,0,0,0,5297,0
"13112061001",0,0,0,0,4753,0
"13112061002",0,0,0,0,4888,0
"13127021003",7,1,0,1,3756,1.86368477103301
"13112031004",0,0,0,0,4970,0
"13112021004",0,0,0,0,4582,0
"13112061003",0,0,0,0,3180,0
"13112021002",1,0,1,0,3212,0.311332503113325
"13112031005",0,0,0,0,2851,0
"13112021003",0,0,0,0,3915,0
"13112081004",0,0,0,0,5021,0
"13112081001",0,0,0,0,4513,0
"13112081007",5,1,0,0,3188,1.56838143036386
"13112081002",0,0,0,0,4548,0
"13112081005",0,0,0,0,3933,0
"13112011001",0,0,0,0,2127,0
"13112081003",0,0,0,0,555,0
"13112051005",1,0,1,0,2249,0.444642063139173
"13112011003",0,0,0,0,185,0
"13122101004",0,0,0,0,3320,0
"13112011002",0,0,0,0,2424,0
"13112041004",1,0,1,0,310,3.2258064516129
"13112051001",0,0,0,0,3502,0
"13122091003",1,0,0,1,3094,0.323206205559147
"13122011001",14,4,0,0,1494,9.37081659973226
"13122011002",7,1,0,0,3857,1.81488203266788
"13122071003",0,0,0,0,4627,0
"13122021001",0,0,0,0,2347,0
"13122011003",3,3,0,0,5131,0.584681348664978
"13122011004",11,2,0,0,4136,2.65957446808511
"13122071001",0,0,0,0,2478,0
"13122081001",10,4,1,0,3381,2.95770482105886
"13122081002",6,1,0,0,4860,1.23456790123457
"13122091004",2,2,0,0,2925,0.683760683760684
"13122091002",1,1,0,0,4432,0.225631768953069
"13122071002",0,0,0,0,2852,0
"13122021002",0,0,0,0,4494,0
"13122071004",0,0,0,0,4054,0
"13122071005",1,1,0,0,2982,0.335345405767941
"13122021003",7,3,0,0,3250,2.15384615384615
"13122061001",6,2,0,0,6252,0.959692898272553
"13122021004",0,0,0,0,4087,0
"13122061002",5,1,0,0,4426,1.12968820605513
"13122081004",1,1,0,0,3882,0.257599175682638
"13122081003",0,0,0,0,4566,0
"13122061003",0,0,0,0,4400,0
"13122091001",1,0,1,0,5587,0.178986933953821
"13122031002",11,2,7,2,4709,2.33595243151412
"13122031003",0,0,0,0,6435,0
"13127041003",11,2,0,0,3915,2.80970625798212
"13122031006",0,0,0,0,4720,0
"13122111003",0,0,0,0,4842,0
"13122111002",5,0,1,0,5796,0.862663906142167
"13122031005",0,0,0,0,6507,0
"13122111004",0,0,0,0,6258,0
"13127061004",13,5,0,0,4421,2.94051119656186
"13122111005",0,0,0,0,5803,0
"13122031009",0,0,0,0,5987,0
"13122031011",0,0,0,0,4984,0
"13122111001",0,0,0,0,5741,0
"13127121002",0,0,0,0,3402,0
"13101121006",2,1,1,0,3272,0.611246943765281
"13122031007",4,1,3,0,6057,0.660392933795608
"13122031008",2,0,2,0,4735,0.422386483632524
"13127061007",0,0,0,0,2000,0
"13122051003",17,1,8,0,3752,4.53091684434968
"13122041005",6,1,1,0,2690,2.23048327137546
"13122041004",1,0,1,0,2705,0.369685767097967
"13101121003",3,0,2,1,2011,1.49179512680259
"13122051001",5,1,0,0,4279,1.16849731245618
"13122051005",3,1,2,0,4625,0.648648648648649
"13122051004",0,0,0,0,3890,0
"13101131006",0,0,0,0,2197,0
"13122031001",0,0,0,0,4426,0
"13122051002",0,0,0,0,6138,0
"13122041001",0,0,0,0,3769,0
"13122041002",2,2,0,0,4290,0.466200466200466
"13122101003",4,1,3,0,2126,1.88146754468485
"13122041003",0,0,0,0,3884,0
"13122101005",1,0,1,0,3204,0.31210986267166
"13122031004",0,0,0,0,4809,0
"13122031010",9,2,1,1,6387,1.40911225927666
"13122061004",5,1,0,0,4998,1.00040016006403
"13123061004",19,5,1,5,2537,7.48916042569965
"13127051001",0,0,0,0,3862,0
"13127051002",5,1,0,0,4277,1.16904372223521
"13127121003",0,0,0,0,4217,0
"13127041004",5,0,1,0,2659,1.88040616773223
"13127061001",6,1,0,0,4946,1.21310149615851
"13127061006",0,0,0,0,4599,0
"13127051003",0,0,0,0,3648,0
"13127121001",18,4,0,0,2701,6.66419844502036
"13127041001",0,0,0,0,4520,0
"13127061002",0,0,0,0,2839,0
"13127041002",0,0,0,0,5003,0
"13127111001",11,1,0,1,4774,2.30414746543779
"13127131001",3,1,0,2,3028,0.990752972258917
"13127061003",0,0,0,0,2453,0
"13127071001",5,1,0,0,2595,1.92678227360308
"13127111002",0,0,0,0,4290,0
"13127111005",5,0,1,0,4993,1.00140196274785
"13127111003",1,0,1,0,2598,0.384911470361817
"13127031001",8,3,0,0,2875,2.78260869565217
"13127131002",6,1,0,0,2745,2.18579234972678
"13127071003",7,1,1,0,3260,2.14723926380368
"13127131003",19,4,0,0,4590,4.13943355119826
"13127091002",0,0,0,0,4878,0
"13127031002",1,1,0,0,1163,0.859845227858985
"13127081002",7,3,0,0,2241,3.12360553324409
"13127091003",2,0,1,0,2475,0.808080808080808
