"geocodigo","demanda_prob_zona","dist_rest_nearest_m","cubierta_actual","dist_nuevo_m","cubierta_nuevo","cubierta_despues","mejora_cobertura","dist_mejor_m","mejora_dist_m"
"13101091004",4.88137771190989,217.411957214635,1,6507.738138916,0,1,0,217.411957214635,0
"13112071006",3.00045001163523,323.163514642472,1,14610.0128451465,0,1,0,323.163514642472,0
"13120011008",8.80030236366291,194.682466380789,1,2430.1659462168,0,1,0,194.682466380789,0
"13101141003",6.71602271797616,105.780298096489,1,4188.75757360881,0,1,0,105.780298096489,0
"13110031007",3.55071486457971,136.780706691524,1,11165.3544423678,0,1,0,136.780706691524,0
"13101161001",4.35459845274235,45.4728250449296,1,4302.73887463227,0,1,0,45.4728250449296,0
"13112081006",5.20790509935103,770.665769412612,0,17996.1209239085,0,0,0,770.665769412612,0
"13110091001",5.14870875125768,336.004983155183,1,12068.630412454,0,1,0,336.004983155183,0
"13110181001",7.22713398964163,348.250604556921,1,12443.3945311986,0,1,0,348.250604556921,0
"13110171001",7.86254319673664,492.460273120457,0,12184.7903986679,0,0,0,492.460273120457,0
"13110171002",6.84141132734005,309.283377953924,1,12213.6842954077,0,1,0,309.283377953924,0
"13110171006",6.53834352124595,261.758981174364,1,12610.8691047456,0,1,0,261.758981174364,0
"13110171003",5.71007298300015,295.231031450317,1,12613.1986590933,0,1,0,295.231031450317,0
"13110121002",4.25844707085627,224.819597340863,1,13812.7913545551,0,1,0,224.819597340863,0
"13110161003",6.72431694771279,253.977723152674,1,13846.2407007031,0,1,0,253.977723152674,0
"13110161004",5.93048593288677,739.137380784962,0,13814.3692847459,0,0,0,739.137380784962,0
"13110151004",4.79914758854687,388.498005693513,0,13827.8345448669,0,0,0,388.498005693513,0
"13110151003",7.4389370586733,239.683390982415,1,13939.9513142646,0,1,0,239.683390982415,0
"13112081008",4.41491017543161,292.514522746207,1,18191.861950784,0,1,0,292.514522746207,0
"13127111004",6.62175220349628,176.211816023554,1,6149.12443722225,0,1,0,176.211816023554,0
"13127071004",3.15499681258862,310.091803819961,1,4797.16330529007,0,1,0,310.091803819961,0
"13127071002",4.81978762081227,226.458602166203,1,4711.79929330499,0,1,0,226.458602166203,0
"13110141006",4.77676189832401,830.550339569353,0,15231.0371328267,0,0,0,830.550339569353,0
"13127081001",4.39111957562359,262.111373681271,1,4713.98796588434,0,1,0,262.111373681271,0
"13112051010",6.25819454933417,189.684813056053,1,14597.5965724908,0,1,0,189.684813056053,0
"13112051011",6.3716680326238,137.242010365285,1,14820.4465444222,0,1,0,137.242010365285,0
