"cand_geocodigo","demanda_cubierta","n_zonas_cubiertas"
"13123041008",38.3691556082189,3
"13123041006",36.0836215032128,3
"13123031008",28.0353838077884,3
"13114011008",27.6400758880045,3
"13123031005",26.5129474384998,3
"13114141001",25.8430015702012,2
"13114141002",25.8430015702012,2
"13120081001",25.2672551987254,3
"13126031003",23.5197585623264,3
"13119071009",23.4190152361153,3
"13120091001",22.1461427389307,2
"13119071013",22.0257634042469,3
"13114101003",21.7499636463686,2
"13113071003",21.3703008333963,2
"13113071006",21.3703008333963,2
"13101071001",21.348493786501,3
"13124061010",20.6544948456318,3
"13124061024",20.4914024899882,3
"13114011009",20.3149863926003,2
"13115011010",19.3585474527589,1
"13110111007",19.3067968291308,3
"13120071003",19.1270801822572,2
"13131041001",19.0666444099134,3
"13101081001",19.0218504274323,3
"13114121002",18.9599263058749,2
"13120061002",18.7527114178353,2
"13120061005",18.7527114178353,2
"13122111001",18.3146318297648,2
"13122111004",18.3146318297648,2
"13114121007",17.6193749158954,2
"13120091003",17.3817835481215,2
"13119071002",16.7732039981034,2
"13120061004",16.1374028663813,2
"13115041004",15.84528562197,1
"13132041007",15.7321258591688,1
"13120081002",15.6918513087243,2
"13119071005",15.5239215221949,2
"13119171001",15.3938846845538,2
"13112081001",15.3690596902054,3
"13127041002",15.240318101126,2
"13119071007",15.1725124490458,2
"13122071004",15.0925143372543,3
"13119071001",14.9604285590837,2
"13110111005",14.7762775232582,2
"13119071008",14.726671862848,2
"13119181004",14.726671862848,2
"13124061017",14.7232876449315,2
"13102031001",14.5495289624292,2
"13119021008",14.5495289624292,2
"13110141007",14.4284383367184,3
"13112031002",14.364951309003,2
"13119071003",14.243677894467,2
"13110051001",13.7465357730067,2
"13131041002",13.5870052090882,2
"13124061018",13.479557711344,2
"13115021005",13.4524694561354,1
"13114121006",13.2205661379888,2
"13124061009",12.841828842336,2
"13127041001",12.7322203385494,2
"13115041005",12.7237050088029,1
"13125021008",12.5204625134475,2
"13125021020",12.5204625134475,2
"13105071004",12.4125138079098,2
"13110061002",12.3155735749147,2
"13113071005",12.0996469409795,1
"13125011007",12.0759253541578,1
"13115021002",12.0068096892771,1
"13130051004",11.8587301868612,1
"13106061002",11.7937579199385,2
"13114071002",11.7936354856435,1
"13119191003",11.7435648850589,2
"13115011007",11.5605304837444,1
"13105041002",11.5174912675991,2
"13122071003",11.4155455833662,2
"13105021002",11.308968618268,2
"13124021001",11.1713599391884,1
"13130041003",11.0787808995181,1
"13114081004",11.0184795485611,1
"13114071003",11.0104329471381,1
"13130021003",10.942630151104,1
"13129071003",10.9281370310502,1
"13119141002",10.7760288907059,2
"13106041002",10.6587863369806,1
"13124091001",10.6557831172293,1
"13112051009",10.5108112544794,2
"13122021002",10.441736506994,2
"13120091002",10.4375066080711,1
"13114021004",10.4203488427848,1
"13114081002",10.3801158356698,1
"13114021001",10.3291540266575,1
"13107041003",10.2985895243543,1
"13112021004",10.2838642879002,2
"13101171002",10.268067189667,2
"13129071001",10.2271478926105,1
"13115011011",10.114870716886,1
"13106071003",9.95719983421312,1
"13122031005",9.93193677108756,1
"13122031003",9.82203982202988,1
"13105011005",9.55006653072849,1
"13107031002",9.41253316189225,1
"13122051002",9.36871490716696,1
"13110071005",9.3348328229324,1
"13129021002",9.28911907440952,1
"13119071006",9.27131691228809,1
"13129011003",9.2080798676535,1
"13114111001",9.19458322601451,1
"13122031009",9.13823658344878,1
"13106141002",9.0708918218563,1
"13124071002",8.898062751904,1
"13122111005",8.85738882474583,1
